Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUSG00000032936	Ensembl Gene Model	MGI:2384296	Camkv	CaM kinase-like vesicle-associated	protein coding gene
ENSMUSG00000033031	Ensembl Gene Model	MGI:2146335	C330027C09Rik	RIKEN cDNA C330027C09 gene	protein coding gene
ENSMUSG00000033059	Ensembl Gene Model	MGI:97828	Pygb	brain glycogen phosphorylase	protein coding gene
ENSMUSG00000033066	Ensembl Gene Model	MGI:1202388	Gas7	growth arrest specific 7	protein coding gene
ENSMUSG00000033105	Ensembl Gene Model	MGI:1336155	Lss	lanosterol synthase	protein coding gene
ENSMUSG00000033114	Ensembl Gene Model	MGI:1917734	Slc35d2	solute carrier family 35, member D2	protein coding gene
ENSMUSG00000033157	Ensembl Gene Model	MGI:2442422	Abhd10	abhydrolase domain containing 10	protein coding gene
ENSMUSG00000033170	Ensembl Gene Model	MGI:2146012	Card10	caspase recruitment domain family, member 10	protein coding gene
ENSMUSG00000033208	Ensembl Gene Model	MGI:98217	S100b	S100 protein, beta polypeptide, neural	protein coding gene
ENSMUSG00000033209	Ensembl Gene Model	MGI:2140873	Ttc28	tetratricopeptide repeat domain 28	protein coding gene
ENSMUSG00000033213	Ensembl Gene Model	MGI:3034182	AA467197	expressed sequence AA467197	protein coding gene
ENSMUSG00000033256	Ensembl Gene Model	MGI:3613669	Shf	Src homology 2 domain containing F	protein coding gene
ENSMUSG00000033272	Ensembl Gene Model	MGI:1915093	Slc35a4	solute carrier family 35, member A4	protein coding gene
ENSMUSG00000033313	Ensembl Gene Model	MGI:1354697	Fbxl8	F-box and leucine-rich repeat protein 8	protein coding gene
ENSMUSG00000033350	Ensembl Gene Model	MGI:1891160	Chst2	carbohydrate sulfotransferase 2	protein coding gene
ENSMUSG00000033382	Ensembl Gene Model	MGI:2443008	Trappc8	trafficking protein particle complex 8	protein coding gene
ENSMUSG00000033416	Ensembl Gene Model	MGI:1916028	Gucd1	guanylyl cyclase domain containing 1	protein coding gene
ENSMUSG00000033450	Ensembl Gene Model	MGI:3615484	Tagap	T cell activation Rho GTPase activating protein	protein coding gene
ENSMUSG00000033478	Ensembl Gene Model	MGI:2147545	Fam160b1	family with sequence similarity 160, member B1	protein coding gene
ENSMUSG00000033538	Ensembl Gene Model	MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	protein coding gene
ENSMUSG00000033554	Ensembl Gene Model	MGI:1916990	Dph5	diphthamide biosynthesis 5	protein coding gene
ENSMUSG00000033557	Ensembl Gene Model	MGI:2443990	Fam20b	family with sequence similarity 20, member B	protein coding gene
ENSMUSG00000033569	Ensembl Gene Model	MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	protein coding gene
ENSMUSG00000033590	Ensembl Gene Model	MGI:2442485	Myo5c	myosin VC	protein coding gene
ENSMUSG00000033610	Ensembl Gene Model	MGI:1922985	Pank1	pantothenate kinase 1	protein coding gene
ENSMUSG00000033684	Ensembl Gene Model	MGI:1330818	Qsox1	quiescin Q6 sulfhydryl oxidase 1	protein coding gene
ENSMUSG00000033697	Ensembl Gene Model	MGI:107858	Arhgap39	Rho GTPase activating protein 39	protein coding gene
ENSMUSG00000033703	Ensembl Gene Model	MGI:1916071	Fuk	fucokinase	protein coding gene
ENSMUSG00000033713	Ensembl Gene Model	MGI:1918625	Foxn3	forkhead box N3	protein coding gene
ENSMUSG00000033726	Ensembl Gene Model	MGI:95387	Emx1	empty spiracles homeobox 1	protein coding gene
ENSMUSG00000033728	Ensembl Gene Model	MGI:2445060	Lrrc14	leucine rich repeat containing 14	protein coding gene
ENSMUSG00000033739	Ensembl Gene Model	MGI:1932127	Fkbpl	FK506 binding protein-like	protein coding gene
ENSMUSG00000033767	Ensembl Gene Model	MGI:2443399	Tmem131l	transmembrane 131 like	protein coding gene
ENSMUSG00000033768	Ensembl Gene Model	MGI:1096362	Nrxn2	neurexin II	protein coding gene
ENSMUSG00000033799	Ensembl Gene Model	MGI:2145274	Fam208b	family with sequence similarity 208, member B	protein coding gene
ENSMUSG00000033847	Ensembl Gene Model	MGI:1196403	Pla2g4c	phospholipase A2, group IVC (cytosolic, calcium-independent)	protein coding gene
ENSMUSG00000033882	old symbol	MGI:3645057	Rbm46	RNA binding motif protein 46	protein coding gene
ENSMUSG00000033882	Ensembl Gene Model	MGI:3645057	Rbm46	RNA binding motif protein 46	protein coding gene
ENSMUSG00000033902	Ensembl Gene Model	MGI:1347004	Mapkbp1	mitogen-activated protein kinase binding protein 1	protein coding gene
ENSMUSG00000033955	Ensembl Gene Model	MGI:2446193	Tnks1bp1	tankyrase 1 binding protein 1	protein coding gene
ENSMUSG00000033985	Ensembl Gene Model	MGI:2385204	Tesk2	testis-specific kinase 2	protein coding gene
ENSMUSG00000034006	Ensembl Gene Model	MGI:1914193	Pqlc1	PQ loop repeat containing 1	protein coding gene
ENSMUSG00000034023	Ensembl Gene Model	MGI:2448480	Fancd2	Fanconi anemia, complementation group D2	protein coding gene
ENSMUSG00000034101	Ensembl Gene Model	MGI:105100	Ctnnd1	catenin (cadherin associated protein), delta 1	protein coding gene
ENSMUSG00000034109	Ensembl Gene Model	MGI:1920374	Golim4	golgi integral membrane protein 4	protein coding gene
ENSMUSG00000034154	Ensembl Gene Model	MGI:1915392	Ino80	INO80 complex subunit	protein coding gene
ENSMUSG00000034157	Ensembl Gene Model	MGI:1919185	Cipc	CLOCK interacting protein, circadian	protein coding gene
ENSMUSG00000034164	Ensembl Gene Model	MGI:2155091	Emid1	EMI domain containing 1	protein coding gene
ENSMUSG00000034189	Ensembl Gene Model	MGI:1919802	Hsdl1	hydroxysteroid dehydrogenase like 1	protein coding gene
ENSMUSG00000034190	Ensembl Gene Model	MGI:1913922	Chmp7	charged multivesicular body protein 7	protein coding gene
ENSMUSG00000034194	Ensembl Gene Model	MGI:1919093	R3hcc1	R3H domain and coiled-coil containing 1	protein coding gene
ENSMUSG00000034201	Ensembl Gene Model	MGI:1926176	Gas2l1	growth arrest-specific 2 like 1	protein coding gene
ENSMUSG00000034259	Ensembl Gene Model	MGI:1923576	Exosc4	exosome component 4	protein coding gene
ENSMUSG00000034263	Ensembl Gene Model	MGI:1917132	Ints14	integrator complex subunit 14	protein coding gene
ENSMUSG00000034394	Ensembl Gene Model	MGI:96787	Lif	leukemia inhibitory factor	protein coding gene
ENSMUSG00000034401	Ensembl Gene Model	MGI:1915196	Spata6	spermatogenesis associated 6	protein coding gene
ENSMUSG00000034412	Ensembl Gene Model	MGI:2144164	Tbc1d10a	TBC1 domain family, member 10a	protein coding gene
ENSMUSG00000034442	Ensembl Gene Model	MGI:1923607	Trmt5	TRM5 tRNA methyltransferase 5	protein coding gene
ENSMUSG00000034462	Ensembl Gene Model	MGI:1099818	Pkd2	polycystic kidney disease 2	protein coding gene
ENSMUSG00000034472	Ensembl Gene Model	MGI:1922391	Rasd2	RASD family, member 2	protein coding gene
ENSMUSG00000034486	Ensembl Gene Model	MGI:95668	Gbx2	gastrulation brain homeobox 2	protein coding gene
ENSMUSG00000034518	Ensembl Gene Model	MGI:1918073	Hmgxb4	HMG box domain containing 4	protein coding gene
ENSMUSG00000034522	Ensembl Gene Model	MGI:2682318	Zfp395	zinc finger protein 395	protein coding gene
ENSMUSG00000034575	Ensembl Gene Model	MGI:2682295	Papd7	PAP associated domain containing 7	protein coding gene
ENSMUSG00000034595	Ensembl Gene Model	MGI:1923698	Ppp1r18	protein phosphatase 1, regulatory subunit 18	protein coding gene
ENSMUSG00000034601	Ensembl Gene Model	MGI:1924217	2700049A03Rik	RIKEN cDNA 2700049A03 gene	protein coding gene
ENSMUSG00000034621	Ensembl Gene Model	MGI:1918667	Gpatch8	G patch domain containing 8	protein coding gene
ENSMUSG00000034647	Ensembl Gene Model	MGI:1914357	Ankrd12	ankyrin repeat domain 12	protein coding gene
ENSMUSG00000034659	Ensembl Gene Model	MGI:1915789	Tmem109	transmembrane protein 109	protein coding gene
ENSMUSG00000034664	Ensembl Gene Model	MGI:96601	Itga2b	integrin alpha 2b	protein coding gene
ENSMUSG00000034681	Ensembl Gene Model	MGI:97960	Rnps1	ribonucleic acid binding protein S1	protein coding gene
ENSMUSG00000034685	Ensembl Gene Model	MGI:2448496	Fam171a2	family with sequence similarity 171, member A2	protein coding gene
ENSMUSG00000034701	Ensembl Gene Model	MGI:1339708	Neurod1	neurogenic differentiation 1	protein coding gene
ENSMUSG00000034707	Ensembl Gene Model	MGI:1922862	Gns	glucosamine (N-acetyl)-6-sulfatase	protein coding gene
ENSMUSG00000034709	Ensembl Gene Model	MGI:1921075	Ppp1r21	protein phosphatase 1, regulatory subunit 21	protein coding gene
ENSMUSG00000034714	Ensembl Gene Model	MGI:2157091	Ttyh2	tweety family member 2	protein coding gene
ENSMUSG00000034730	Ensembl Gene Model	MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	protein coding gene
ENSMUSG00000034758	Ensembl Gene Model	MGI:2149593	Tle6	transducin-like enhancer of split 6	protein coding gene
ENSMUSG00000034761	Ensembl Gene Model	MGI:1925503	Map4k5	mitogen-activated protein kinase kinase kinase kinase 5	protein coding gene
ENSMUSG00000034765	Ensembl Gene Model	MGI:2685183	Dusp5	dual specificity phosphatase 5	protein coding gene
ENSMUSG00000034773	Ensembl Gene Model	MGI:2387601	BC030867	cDNA sequence BC030867	protein coding gene
ENSMUSG00000034792	Ensembl Gene Model	MGI:95770	Gna15	guanine nucleotide binding protein, alpha 15	protein coding gene
ENSMUSG00000034793	Ensembl Gene Model	MGI:1915651	G6pc3	glucose 6 phosphatase, catalytic, 3	protein coding gene
ENSMUSG00000034826	Ensembl Gene Model	MGI:1920460	Nup54	nucleoporin 54	protein coding gene
ENSMUSG00000034853	Ensembl Gene Model	MGI:1913736	Acot11	acyl-CoA thioesterase 11	protein coding gene
ENSMUSG00000034854	Ensembl Gene Model	MGI:3604804	Mfsd12	major facilitator superfamily domain containing 12	protein coding gene
ENSMUSG00000034891	Ensembl Gene Model	MGI:1889011	Sncb	synuclein, beta	protein coding gene
ENSMUSG00000034910	Ensembl Gene Model	MGI:1919385	Pygo1	pygopus 1	protein coding gene
ENSMUSG00000034932	Ensembl Gene Model	MGI:1913297	Mrpl54	mitochondrial ribosomal protein L54	protein coding gene
ENSMUSG00000034947	Ensembl Gene Model	MGI:1922056	Tmem106a	transmembrane protein 106A	protein coding gene
ENSMUSG00000034974	Ensembl Gene Model	MGI:1203520	Dapk3	death-associated protein kinase 3	protein coding gene
ENSMUSG00000034981	Ensembl Gene Model	MGI:2443349	Parm1	prostate androgen-regulated mucin-like protein 1	protein coding gene
ENSMUSG00000035069	Ensembl Gene Model	MGI:1914263	Oma1	OMA1 zinc metallopeptidase	protein coding gene
ENSMUSG00000035105	Ensembl Gene Model	MGI:1932288	Egln3	egl-9 family hypoxia-inducible factor 3	protein coding gene
ENSMUSG00000035109	Ensembl Gene Model	MGI:2655364	Shc4	SHC (Src homology 2 domain containing) family, member 4	protein coding gene
ENSMUSG00000035171	Ensembl Gene Model	MGI:1913456	1110059E24Rik	RIKEN cDNA 1110059E24 gene	protein coding gene
ENSMUSG00000035179	Ensembl Gene Model	MGI:1915002	Ppp1r32	protein phosphatase 1, regulatory subunit 32	protein coding gene
ENSMUSG00000035234	Ensembl Gene Model	MGI:1917931	Abraxas1	BRCA1 A complex subunit	protein coding gene
ENSMUSG00000035245	Ensembl Gene Model	MGI:2141669	Eogt	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase	protein coding gene
ENSMUSG00000035283	Ensembl Gene Model	MGI:87937	Adrb1	adrenergic receptor, beta 1	protein coding gene
ENSMUSG00000035284	Ensembl Gene Model	MGI:2444207	Vps13c	vacuolar protein sorting 13C	protein coding gene
ENSMUSG00000035337	Ensembl Gene Model	MGI:1890440	Uchl4	ubiquitin carboxyl-terminal esterase L4	protein coding gene
ENSMUSG00000035342	Ensembl Gene Model	MGI:2385095	Lzts2	leucine zipper, putative tumor suppressor 2	protein coding gene
ENSMUSG00000035357	Ensembl Gene Model	MGI:1933157	Pdzrn3	PDZ domain containing RING finger 3	protein coding gene
ENSMUSG00000035372	Ensembl Gene Model	MGI:1919306	1810055G02Rik	RIKEN cDNA 1810055G02 gene	protein coding gene
ENSMUSG00000035390	Ensembl Gene Model	MGI:2685946	Brsk1	BR serine/threonine kinase 1	protein coding gene
ENSMUSG00000035413	Ensembl Gene Model	MGI:1923457	Tmem98	transmembrane protein 98	protein coding gene
ENSMUSG00000035458	Ensembl Gene Model	MGI:98783	Tnni3	troponin I, cardiac 3	protein coding gene
ENSMUSG00000035495	Ensembl Gene Model	MGI:3039624	Tstd2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	protein coding gene
ENSMUSG00000035506	Ensembl Gene Model	MGI:2443672	Slc12a8	solute carrier family 12 (potassium/chloride transporters), member 8	protein coding gene
ENSMUSG00000035559	Ensembl Gene Model	MGI:2681846	Mpv17l2	MPV17 mitochondrial membrane protein-like 2	protein coding gene
ENSMUSG00000035596	Ensembl Gene Model	MGI:1924832	Mboat7	membrane bound O-acyltransferase domain containing 7	protein coding gene
ENSMUSG00000035621	Ensembl Gene Model	MGI:1890222	Midn	midnolin	protein coding gene
ENSMUSG00000035640	Ensembl Gene Model	MGI:1354170	Cbarp	calcium channel, voltage-dependent, beta subunit associated regulatory protein	protein coding gene
ENSMUSG00000035642	Ensembl Gene Model	MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing	protein coding gene
ENSMUSG00000035762	Ensembl Gene Model	MGI:1919995	Tmem161b	transmembrane protein 161B	protein coding gene
ENSMUSG00000035824	Ensembl Gene Model	MGI:1913266	Tk2	thymidine kinase 2, mitochondrial	protein coding gene
ENSMUSG00000035845	Ensembl Gene Model	MGI:2385025	Alg12	asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase)	protein coding gene
ENSMUSG00000035898	Ensembl Gene Model	MGI:1913894	Uba6	ubiquitin-like modifier activating enzyme 6	protein coding gene
ENSMUSG00000035910	Ensembl Gene Model	MGI:2652818	Dcdc2a	doublecortin domain containing 2a	protein coding gene
ENSMUSG00000035914	Ensembl Gene Model	MGI:2183926	Cd276	CD276 antigen	protein coding gene
ENSMUSG00000035936	Ensembl Gene Model	MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	protein coding gene
ENSMUSG00000035944	Ensembl Gene Model	MGI:2146198	Ttc38	tetratricopeptide repeat domain 38	protein coding gene
ENSMUSG00000036046	Ensembl Gene Model	MGI:2444899	5031439G07Rik	RIKEN cDNA 5031439G07 gene	protein coding gene
ENSMUSG00000036052	Ensembl Gene Model	MGI:1930018	Dnajb5	DnaJ heat shock protein family (Hsp40) member B5	protein coding gene
ENSMUSG00000036053	Ensembl Gene Model	MGI:1918659	Fmnl2	formin-like 2	protein coding gene
ENSMUSG00000036087	Ensembl Gene Model	MGI:1923241	Slain2	SLAIN motif family, member 2	protein coding gene
ENSMUSG00000036151	Ensembl Gene Model	MGI:1933210	Tm6sf2	transmembrane 6 superfamily member 2	protein coding gene
ENSMUSG00000036181	Ensembl Gene Model	MGI:1931526	Hist1h1c	histone cluster 1, H1c	protein coding gene
ENSMUSG00000036197	Ensembl Gene Model	MGI:2684933	Gxylt1	glucoside xylosyltransferase 1	protein coding gene
ENSMUSG00000036223	Ensembl Gene Model	MGI:1913718	Ska1	spindle and kinetochore associated complex subunit 1	protein coding gene
ENSMUSG00000036275	Ensembl Gene Model	MGI:2654705	9530068E07Rik	RIKEN cDNA 9530068E07 gene	protein coding gene
ENSMUSG00000036278	Ensembl Gene Model	MGI:2147583	Macrod1	MACRO domain containing 1	protein coding gene
ENSMUSG00000036390	Ensembl Gene Model	MGI:107799	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	protein coding gene
ENSMUSG00000036411	Ensembl Gene Model	MGI:1915533	9530077C05Rik	RIKEN cDNA 9530077C05 gene	protein coding gene
ENSMUSG00000036430	Ensembl Gene Model	MGI:1919976	Tbcc	tubulin-specific chaperone C	protein coding gene
ENSMUSG00000036432	Ensembl Gene Model	MGI:108062	Siah2	seven in absentia 2	protein coding gene
ENSMUSG00000036564	Ensembl Gene Model	MGI:2384590	Ndrg4	N-myc downstream regulated gene 4	protein coding gene
ENSMUSG00000036598	Ensembl Gene Model	MGI:3606076	Ccdc113	coiled-coil domain containing 113	protein coding gene
ENSMUSG00000036611	Ensembl Gene Model	MGI:1914734	Eepd1	endonuclease/exonuclease/phosphatase family domain containing 1	protein coding gene
ENSMUSG00000036613	Ensembl Gene Model	MGI:1289332	Tssc1	tumor suppressing subtransferable candidate 1	protein coding gene
ENSMUSG00000036620	Ensembl Gene Model	MGI:2143974	Mgat4b	mannoside acetylglucosaminyltransferase 4, isoenzyme B	protein coding gene
ENSMUSG00000036636	Ensembl Gene Model	MGI:1347048	Clcn7	chloride channel, voltage-sensitive 7	protein coding gene
ENSMUSG00000036707	Ensembl Gene Model	MGI:107438	Cab39	calcium binding protein 39	protein coding gene
ENSMUSG00000036712	Ensembl Gene Model	MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase	protein coding gene
ENSMUSG00000036840	Ensembl Gene Model	MGI:108064	Siah1a	seven in absentia 1A	protein coding gene
ENSMUSG00000036863	Ensembl Gene Model	MGI:3036264	Syde2	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	protein coding gene
ENSMUSG00000036867	Ensembl Gene Model	MGI:1336883	Smad6	SMAD family member 6	protein coding gene
ENSMUSG00000036873	Ensembl Gene Model	MGI:1913671	2410004B18Rik	RIKEN cDNA 2410004B18 gene	protein coding gene
ENSMUSG00000036898	Ensembl Gene Model	MGI:1919404	Zfp157	zinc finger protein 157	protein coding gene
ENSMUSG00000036943	Ensembl Gene Model	MGI:2442982	Rab8b	RAB8B, member RAS oncogene family	protein coding gene
ENSMUSG00000036968	Ensembl Gene Model	MGI:1913705	Cnpy4	canopy FGF signaling regulator 4	protein coding gene
ENSMUSG00000036977	Ensembl Gene Model	MGI:1916249	Anapc10	anaphase promoting complex subunit 10	protein coding gene
ENSMUSG00000036983	Ensembl Gene Model	MGI:2146851	Tfb1m	transcription factor B1, mitochondrial	protein coding gene
ENSMUSG00000036989	Ensembl Gene Model	MGI:1860040	Trim3	tripartite motif-containing 3	protein coding gene
ENSMUSG00000037020	Ensembl Gene Model	MGI:1923696	Wdr62	WD repeat domain 62	protein coding gene
ENSMUSG00000037022	Ensembl Gene Model	MGI:1923805	Mmaa	methylmalonic aciduria (cobalamin deficiency) type A	protein coding gene
ENSMUSG00000037049	Ensembl Gene Model	MGI:98325	Smpd1	sphingomyelin phosphodiesterase 1, acid lysosomal	protein coding gene
ENSMUSG00000037070	Ensembl Gene Model	MGI:1343045	Rbmxl1	RNA binding motif protein, X-linked like-1	protein coding gene
ENSMUSG00000037089	Ensembl Gene Model	MGI:1921086	Slc35b2	solute carrier family 35, member B2	protein coding gene
ENSMUSG00000037104	Ensembl Gene Model	MGI:2385459	Socs5	suppressor of cytokine signaling 5	protein coding gene
ENSMUSG00000037143	Ensembl Gene Model	MGI:1926024	Cfap61	cilia and flagella associated protein 61	protein coding gene
ENSMUSG00000037174	Ensembl Gene Model	MGI:1916507	Elf2	E74-like factor 2	protein coding gene
ENSMUSG00000037235	Ensembl Gene Model	MGI:104991	Mxd4	Max dimerization protein 4	protein coding gene
ENSMUSG00000037243	Ensembl Gene Model	MGI:2144276	Zfp692	zinc finger protein 692	protein coding gene
ENSMUSG00000037279	Ensembl Gene Model	MGI:1338039	Ovol2	ovo like zinc finger 2	protein coding gene
ENSMUSG00000037287	Ensembl Gene Model	MGI:1925543	Tbcel	tubulin folding cofactor E-like	protein coding gene
ENSMUSG00000037306	Ensembl Gene Model	MGI:2446214	Man1c1	mannosidase, alpha, class 1C, member 1	protein coding gene
ENSMUSG00000037337	Ensembl Gene Model	MGI:1346882	Map4k1	mitogen-activated protein kinase kinase kinase kinase 1	protein coding gene
ENSMUSG00000037343	Ensembl Gene Model	MGI:2443028	Taf2	TATA-box binding protein associated factor 2	protein coding gene
ENSMUSG00000037347	Ensembl Gene Model	MGI:1891767	Chst7	carbohydrate (N-acetylglucosamino) sulfotransferase 7	protein coding gene
ENSMUSG00000037349	Ensembl Gene Model	MGI:1915573	Nudt22	nudix (nucleoside diphosphate linked moiety X)-type motif 22	protein coding gene
ENSMUSG00000037353	Ensembl Gene Model	MGI:1915864	Letmd1	LETM1 domain containing 1	protein coding gene
ENSMUSG00000037376	Ensembl Gene Model	MGI:1914176	Trmt6	tRNA methyltransferase 6	protein coding gene
ENSMUSG00000037411	Ensembl Gene Model	MGI:97608	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1	protein coding gene
ENSMUSG00000037438	old symbol	MGI:3641869	Uqcrh-ps1	ubiquinol-cytochrome c reductase hinge protein, pseudogene 1	pseudogene
ENSMUSG00000037438	Ensembl Gene Model	MGI:3641869	Uqcrh-ps1	ubiquinol-cytochrome c reductase hinge protein, pseudogene 1	pseudogene
ENSMUSG00000037463	Ensembl Gene Model	MGI:2685007	Fbxo27	F-box protein 27	protein coding gene
ENSMUSG00000037486	Ensembl Gene Model	MGI:1922552	Asxl2	additional sex combs like 2 (Drosophila)	protein coding gene
ENSMUSG00000037499	Ensembl Gene Model	MGI:1913458	Nenf	neuron derived neurotrophic factor	protein coding gene
ENSMUSG00000037523	Ensembl Gene Model	MGI:2444773	Mavs	mitochondrial antiviral signaling protein	protein coding gene
ENSMUSG00000037544	Ensembl Gene Model	MGI:2183453	Dlgap5	discs, large (Drosophila) homolog-associated protein 5	protein coding gene
ENSMUSG00000037577	Ensembl Gene Model	MGI:1919182	Ephx3	epoxide hydrolase 3	protein coding gene
ENSMUSG00000037617	Ensembl Gene Model	MGI:1349387	Spag1	sperm associated antigen 1	protein coding gene
ENSMUSG00000037628	Ensembl Gene Model	MGI:1919641	Cdkn3	cyclin-dependent kinase inhibitor 3	protein coding gene
ENSMUSG00000037640	Ensembl Gene Model	MGI:99207	Zfp60	zinc finger protein 60	protein coding gene
ENSMUSG00000037692	Ensembl Gene Model	MGI:2444218	Ahdc1	AT hook, DNA binding motif, containing 1	protein coding gene
ENSMUSG00000037750	Ensembl Gene Model	MGI:2384939	Fam222b	family with sequence similarity 222, member B	protein coding gene
ENSMUSG00000037761	Ensembl Gene Model	MGI:1924748	Actr5	ARP5 actin-related protein 5	protein coding gene
ENSMUSG00000037826	Ensembl Gene Model	MGI:2442111	Ppm1k	protein phosphatase 1K (PP2C domain containing)	protein coding gene
ENSMUSG00000037833	Ensembl Gene Model	MGI:1925182	Sh2d4b	SH2 domain containing 4B	protein coding gene
ENSMUSG00000037843	Ensembl Gene Model	MGI:2685537	Vstm2l	V-set and transmembrane domain containing 2-like	protein coding gene
ENSMUSG00000037846	Ensembl Gene Model	MGI:2158417	Rtkn2	rhotekin 2	protein coding gene
ENSMUSG00000037852	Ensembl Gene Model	MGI:101932	Cpe	carboxypeptidase E	protein coding gene
ENSMUSG00000037876	Ensembl Gene Model	MGI:1918614	Jmjd1c	jumonji domain containing 1C	protein coding gene
ENSMUSG00000037933	Ensembl Gene Model	MGI:1924145	Bicd2	bicaudal D homolog 2 (Drosophila)	protein coding gene
ENSMUSG00000037935	Ensembl Gene Model	MGI:1927347	Smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	protein coding gene
ENSMUSG00000037991	Ensembl Gene Model	MGI:2685383	Rmi2	RecQ mediated genome instability 2	protein coding gene
ENSMUSG00000038000	Ensembl Gene Model	MGI:87873	Acd	adrenocortical dysplasia	protein coding gene
ENSMUSG00000038055	Ensembl Gene Model	MGI:1926236	Dexi	dexamethasone-induced transcript	protein coding gene
ENSMUSG00000038072	Ensembl Gene Model	MGI:2444392	Galnt11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11	protein coding gene
ENSMUSG00000038074	Ensembl Gene Model	MGI:2387639	Fkbp14	FK506 binding protein 14	protein coding gene
ENSMUSG00000038080	Ensembl Gene Model	MGI:2145261	Kdm1b	lysine (K)-specific demethylase 1B	protein coding gene
ENSMUSG00000038085	Ensembl Gene Model	MGI:1918123	Cnbd2	cyclic nucleotide binding domain containing 2	protein coding gene
ENSMUSG00000038094	Ensembl Gene Model	MGI:1924456	Atp13a4	ATPase type 13A4	protein coding gene
ENSMUSG00000038121	Ensembl Gene Model	MGI:1914000	Fam210a	family with sequence similarity 210, member A	protein coding gene
ENSMUSG00000038127	Ensembl Gene Model	MGI:1914751	Ccdc50	coiled-coil domain containing 50	protein coding gene
ENSMUSG00000038143	Ensembl Gene Model	MGI:1918319	Stox2	storkhead box 2	protein coding gene
ENSMUSG00000038145	Ensembl Gene Model	MGI:108104	Snrk	SNF related kinase	protein coding gene
ENSMUSG00000038151	Ensembl Gene Model	MGI:99655	Prdm1	PR domain containing 1, with ZNF domain	protein coding gene
ENSMUSG00000038205	Ensembl Gene Model	MGI:1336185	Prkab2	protein kinase, AMP-activated, beta 2 non-catalytic subunit	protein coding gene
ENSMUSG00000038217	Ensembl Gene Model	MGI:1917141	Tlcd2	TLC domain containing 2	protein coding gene
ENSMUSG00000038240	Ensembl Gene Model	MGI:1918615	Pdss2	prenyl (solanesyl) diphosphate synthase, subunit 2	protein coding gene
ENSMUSG00000038257	Ensembl Gene Model	MGI:95749	Glra3	glycine receptor, alpha 3 subunit	protein coding gene
ENSMUSG00000038280	Ensembl Gene Model	MGI:2655574	Ostm1	osteopetrosis associated transmembrane protein 1	protein coding gene
ENSMUSG00000038292	Ensembl Gene Model	MGI:2687329	Ccdc155	coiled-coil domain containing 155	protein coding gene
ENSMUSG00000038305	Ensembl Gene Model	MGI:1914448	Spats2l	spermatogenesis associated, serine-rich 2-like	protein coding gene
ENSMUSG00000038319	Ensembl Gene Model	MGI:1341722	Kcnh2	potassium voltage-gated channel, subfamily H (eag-related), member 2	protein coding gene
ENSMUSG00000038331	Ensembl Gene Model	MGI:2679336	Satb2	special AT-rich sequence binding protein 2	protein coding gene
ENSMUSG00000038344	Ensembl Gene Model	MGI:3590652	Txlng	taxilin gamma	protein coding gene
ENSMUSG00000038351	Ensembl Gene Model	MGI:2144695	Sgsm2	small G protein signaling modulator 2	protein coding gene
ENSMUSG00000038354	Ensembl Gene Model	MGI:2442590	Ankrd35	ankyrin repeat domain 35	protein coding gene
ENSMUSG00000038365	Ensembl Gene Model	MGI:1914072	Fbxo25	F-box protein 25	protein coding gene
ENSMUSG00000038369	Ensembl Gene Model	MGI:1929915	Ncoa6	nuclear receptor coactivator 6	protein coding gene
ENSMUSG00000038383	Ensembl Gene Model	MGI:3039607	Pigu	phosphatidylinositol glycan anchor biosynthesis, class U	protein coding gene
ENSMUSG00000038412	Ensembl Gene Model	MGI:1930666	Higd1a	HIG1 domain family, member 1A	protein coding gene
ENSMUSG00000038418	Ensembl Gene Model	MGI:95295	Egr1	early growth response 1	protein coding gene
ENSMUSG00000038456	Ensembl Gene Model	MGI:2444961	Dennd2a	DENN/MADD domain containing 2A	protein coding gene
ENSMUSG00000038459	Ensembl Gene Model	MGI:1917428	Abhd17c	abhydrolase domain containing 17C	protein coding gene
ENSMUSG00000038482	Ensembl Gene Model	MGI:101934	Tfdp1	transcription factor Dp 1	protein coding gene
ENSMUSG00000038497	Ensembl Gene Model	MGI:2444946	Tmco3	transmembrane and coiled-coil domains 3	protein coding gene
ENSMUSG00000038517	Ensembl Gene Model	MGI:1920424	Tbkbp1	TBK1 binding protein 1	protein coding gene
ENSMUSG00000038533	Ensembl Gene Model	MGI:1333833	Cbfa2t2	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)	protein coding gene
